Code,CountryCode,Latitude,Longitude,State
35287,US,33.517229,-86.807512,AL
35288,US,33.519155,-86.80159,AL
35290,US,33.547766,-86.742585,AL
35291,US,33.513292,-86.804853,AL
35292,US,33.513292,-86.804853,AL
35293,US,33.46619,-86.825954,AL
35294,US,33.506637,-86.808971,AL
35295,US,33.512242,-86.804186,AL
35296,US,33.414804,-86.809544,AL
35297,US,33.492811,-86.779059,AL
35298,US,33.502106,-86.799211,AL
35401,US,33.177357,-87.616654,AL
35402,US,33.21181,-87.561498,AL
35403,US,33.203063,-87.562315,AL
35404,US,33.217955,-87.484585,AL
35405,US,33.119822,-87.550183,AL
35406,US,33.339062,-87.471979,AL
35407,US,33.169772,-87.491242,AL
35440,US,33.291233,-87.199533,AL
35441,US,32.852634,-87.715176,AL
35442,US,33.049226,-88.210648,AL
35443,US,32.762964,-88.028256,AL
35444,US,33.329791,-87.306383,AL
35446,US,33.20956,-87.752279,AL
35447,US,33.258913,-88.13895,AL
35448,US,32.84205,-87.88788,AL
35449,US,33.173325,-87.447466,AL
35452,US,33.278623,-87.684016,AL
35453,US,33.161972,-87.386489,AL
35456,US,33.056449,-87.43085,AL
35457,US,33.288303,-87.770643,AL
35458,US,33.411835,-87.789926,AL
35459,US,32.80018,-88.301435,AL
35460,US,32.728124,-88.196498,AL
35461,US,33.414205,-88.21457,AL
35462,US,32.934069,-87.985531,AL
35463,US,33.071581,-87.677875,AL
35464,US,32.795642,-88.174223,AL
35466,US,33.280681,-87.907466,AL
35468,US,33.271458,-87.249737,AL
35469,US,32.972876,-87.802834,AL
35470,US,32.571413,-88.103353,AL
35471,US,33.381957,-88.143403,AL
35473,US,33.272979,-87.582867,AL
35474,US,32.941691,-87.572948,AL
35475,US,33.444826,-87.563878,AL
35476,US,33.225996,-87.64324,AL
35477,US,32.95032,-88.268464,AL
35478,US,33.271458,-87.249737,AL
35480,US,33.089927,-87.783348,AL
35481,US,33.401651,-88.03024,AL
35482,US,33.477822,-87.604205,AL
35485,US,33.197384,-87.526674,AL
35486,US,33.215378,-87.545841,AL
35487,US,33.217862,-87.545079,AL
35490,US,33.21538,-87.239151,AL
35491,US,32.923199,-88.083554,AL
35501,US,33.821644,-87.29253,AL
35502,US,33.830003,-87.285151,AL
35503,US,33.932844,-87.303397,AL
35504,US,33.895054,-87.169412,AL
35540,US,34.228253,-87.193882,AL
35541,US,34.072554,-87.176024,AL
35542,US,33.712992,-87.681411,AL
35543,US,34.213711,-87.749621,AL
35544,US,33.960414,-88.024623,AL
35545,US,33.644198,-87.932755,AL
35546,US,33.612694,-87.555296,AL
35548,US,34.04812,-87.734926,AL
35549,US,33.83965,-87.546069,AL
35550,US,33.745775,-87.167491,AL
35551,US,34.2278,-87.618972,AL
35552,US,34.076371,-88.146338,AL
35553,US,34.13581,-87.388902,AL
35554,US,33.891104,-87.658716,AL
35555,US,33.67059,-87.821981,AL
35559,US,33.914375,-87.739279,AL
35560,US,33.670443,-87.233758,AL
35563,US,33.987539,-87.90172,AL
35564,US,34.257914,-87.843776,AL
35565,US,34.205584,-87.597286,AL
35570,US,34.162375,-87.987344,AL
35571,US,34.346757,-87.950299,AL
35572,US,34.196854,-87.298868,AL
35573,US,33.905557,-87.552111,AL
35574,US,33.600522,-87.973335,AL
35575,US,34.045972,-87.560566,AL
35576,US,33.576375,-88.132832,AL
35577,US,34.088235,-87.60445,AL
35578,US,33.978381,-87.461512,AL
35579,US,33.653456,-87.346504,AL
35580,US,33.69685,-87.270733,AL
35581,US,34.35735,-87.712636,AL
35582,US,34.482361,-88.084548,AL
35584,US,33.825018,-87.091084,AL
35585,US,34.415191,-87.828036,AL
35586,US,33.869609,-88.148052,AL
35587,US,33.808512,-87.454475,AL
35592,US,33.750771,-88.079961,AL
35593,US,34.343545,-88.080357,AL
35594,US,33.921184,-87.779874,AL
35601,US,34.605284,-87.013351,AL
35602,US,34.606634,-86.982465,AL
35603,US,34.537181,-86.980682,AL
35609,US,34.606634,-86.982465,AL
35610,US,34.946249,-87.24889,AL
35611,US,34.77304,-87.080711,AL
35612,US,34.805116,-86.982124,AL
35613,US,34.821173,-86.882669,AL
35614,US,34.865239,-87.091506,AL
35615,US,34.656911,-86.880089,AL
35616,US,34.730597,-88.012077,AL
35617,US,34.9384,-87.771058,AL
35618,US,34.651927,-87.30181,AL
35619,US,34.386613,-87.149374,AL
35620,US,34.92912,-86.988198,AL
35621,US,34.35031,-86.723904,AL
35622,US,34.344608,-86.895755,AL
35630,US,34.827916,-87.664536,AL
35631,US,34.801781,-87.675271,AL
35632,US,34.801806,-87.675288,AL
35633,US,34.882849,-87.794837,AL
35634,US,34.924608,-87.603319,AL
35640,US,34.442942,-86.939857,AL
35643,US,34.659673,-87.203953,AL
35645,US,34.900308,-87.494795,AL
35646,US,34.667051,-87.531574,AL
35647,US,34.967694,-87.123423,AL
